m0,mult
18054.5799258838,2
18187.9113769399,1
18211.9730920272,1
18225.776108914,1
18284.2051134139,2
18306.8817542599,2
18460.9770096902,1
18502.4474013774,1
18536.9828932158,1
18592.4817235689,1
18645.3039280101,2
18670.3137567758,2
18809.0423528503,4
18825.6358350882,4
18851.8058021858,4
18873.2663655602,4
18903.5340801658,1
19044.9545048198,3
19075.8224527065,3
19108.7477151037,3
19322.6282909182,1
19482.7871207974,2
19510.8463225488,2
19555.718928434,1
19576.1241762408,1
19694.595065916,1
19852.6336937605,1
20195.4639196945,1
20239.8977635005,1
20336.2184449871,1
20541.2913562574,1
20556.2226498971,2
20587.5792052768,2
20970.0031092096,6
21000.1049517711,6
21052.1942465813,6
21084.4005648892,6
21100.0166265217,6
21183.3108547434,6
21294.419932774,1
21476.9500494403,1
21517.3108599736,1
21724.0113005464,6
21767.9218807898,6
21811.2082622071,6
21838.8545282331,6
21877.7862396453,6
21920.7388696926,6
22176.2925051733,8
22210.9269309033,8
22243.6658797751,8
22276.7208278708,8
22309.7882526307,8
22340.6981074493,8
22370.0658381441,8
22406.6709996032,8
22527.10934788,1
22622.583742113,1
22810.8643430402,2
22855.8435117558,2
23045.1492967505,1
23187.444570219,1
23398.8358630157,1
23432.1327205347,2
23479.5165670306,2
25199.2479973645,1
25406.5447323817,1
25488.1709980638,1
25620.2372650118,2
25683.2407782465,2
28102.6138312844,1
28303.8313149271,1
28514.178115455,1
28889.1667466864,3
28974.3355377515,3
29091.3236108361,3
